Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|G. Pittar|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|G. Medina|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|S. Pupo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|J. Vaughan|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|C. Colapinto|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|Y. Dora|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|E. Ewing|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|L. O'Brien|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|G. Colapinto|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Robinson|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|C. O'Leary|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Chianca|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|M. Pupo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Willcox|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Thomas|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|R. Boukhiam|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|C. Houshmand|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Smith|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. Mignot|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|A. Cleland|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|K. Vaast|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|R. Waida|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|F. Toledo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|S. Moniz|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Marshall|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|A. Muniz|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|O. Berry|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|M. Herdy|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|C. Robson|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|L. Thompson|||
